SeasonType,Season,Team,PointsAllowed,TouchdownsScored,Sacks,SackYards,FumblesForced,FumblesRecovered,FumbleReturnTouchdowns,Interceptions,InterceptionReturnTouchdowns,BlockedKicks,Safeties,PuntReturnTouchdowns,KickReturnTouchdowns,BlockedKickReturnTouchdowns,FieldGoalReturnTouchdowns,Games,QuarterbackHits,TacklesForLoss,DefensiveTouchdowns,SpecialTeamsTouchdowns,FantasyPoints,PointsAllowedByDefenseSpecialTeams,AuctionValue,AuctionValuePPR,TwoPointConversionReturns,FantasyPointsFanDuel,FantasyPointsDraftKings,PlayerID,AverageDraftPosition,AverageDraftPositionPPR,TeamID
2,2023,LV,55.00,1.00,6.00,27.00,2.00,1.00,0.00,2.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,3,10.00,9.00,1.00,0,25.00,49.00,,,0.00,25.00,25.00,83,,,25
1,2023,LV,331.00,5.00,46.00,290.00,14.00,10.00,2.00,13.00,3.00,0.00,1.00,0.00,0.00,0.00,0.00,17,89.00,82.00,5.00,0,146.00,325.00,,,0.00,146.00,146.00,83,,,25
1,2023,MIA,391.00,4.00,56.00,371.00,15.00,12.00,0.00,15.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,17,140.00,79.00,4.00,0,152.00,367.00,,,0.00,152.00,152.00,64,,,19
3,2023,MIA,26.00,0.00,0.00,0.00,2.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,5.00,4.00,0.00,0,2.00,26.00,,,0.00,2.00,2.00,64,,,19
2,2023,MIA,53.00,0.00,6.00,38.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3,12.00,9.00,0.00,0,18.00,47.00,,,0.00,18.00,18.00,64,,,19
2,2023,MIN,66.00,0.00,5.00,42.00,3.00,2.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3,12.00,6.00,0.00,0,14.00,66.00,,,0.00,14.00,14.00,67,,,20
1,2023,MIN,362.00,2.00,43.00,302.00,22.00,11.00,2.00,11.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17,91.00,70.00,2.00,0,125.00,354.00,,,1.00,125.00,125.00,67,,,20
1,2023,NE,366.00,2.00,36.00,248.00,15.00,7.00,1.00,10.00,0.00,1.00,1.00,0.00,1.00,0.00,0.00,17,78.00,80.00,1.00,1,106.00,334.00,,,0.00,108.00,108.00,21,,,21
2,2023,NE,60.00,0.00,3.00,21.00,2.00,2.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3,8.00,9.00,0.00,0,15.00,60.00,,,0.00,15.00,15.00,21,,,21
5,2023,NFC,59.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,0.00,0.00,0.00,0,-4.00,59.00,,,0.00,-4.00,-4.00,106,,,37
