PlayerID,SeasonType,Season,Team,Number,Name,Position,PositionCategory,Played,Started,PassingAttempts,PassingCompletions,PassingYards,PassingCompletionPercentage,PassingYardsPerAttempt,PassingYardsPerCompletion,PassingTouchdowns,PassingInterceptions,PassingRating,PassingLong,PassingSacks,PassingSackYards,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,RushingLong,ReceivingTargets,Receptions,ReceivingYards,ReceivingYardsPerReception,ReceivingTouchdowns,ReceivingLong,Fumbles,FumblesLost,PuntReturns,PuntReturnYards,PuntReturnTouchdowns,KickReturns,KickReturnYards,KickReturnTouchdowns,SoloTackles,AssistedTackles,TacklesForLoss,Sacks,SackYards,QuarterbackHits,PassesDefended,FumblesForced,FumblesRecovered,FumbleReturnTouchdowns,Interceptions,InterceptionReturnTouchdowns,FieldGoalsAttempted,FieldGoalsMade,ExtraPointsMade,TwoPointConversionPasses,TwoPointConversionRuns,TwoPointConversionReceptions,FantasyPoints,FantasyPosition,PlayerSeasonID,ExtraPointsAttempted,AuctionValue,AuctionValuePPR,FantasyPointsFanDuel,FieldGoalsMade0to19,FieldGoalsMade20to29,FieldGoalsMade30to39,FieldGoalsMade40to49,FieldGoalsMade50Plus,FantasyPointsDraftKings,AverageDraftPosition,AverageDraftPositionPPR,TeamID
22874,1,2023,IND,54,Dayo Odeyingbo,DE,DEF,17,0,0.00,0.00,0.00,0,0,0,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.60,8.30,2.20,3.00,21.00,6.30,0.50,0.30,0.20,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,39.95,DL,,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,14
22905,1,2023,IND,59,Cameron McGrone,LB,DEF,17,0,0.00,0.00,0.00,0,0,0,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.60,8.30,1.40,0.90,6.30,1.90,0.80,0.20,0.10,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28.78,LB,,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,14
23139,1,2023,IND,49,Jalen Wydermyer,TE,OFF,0,0,0.00,0.00,0.00,0,0,0,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,TE,,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,987.00,801.00,14
23143,1,2023,IND,86,Will Mallory,TE,OFF,17,17,0.00,0.00,0.00,0,0,0,0.00,0.00,0,0.00,0.00,0.00,0.10,0.40,0,0.00,0.00,11.60,7.90,83.40,10.4,0.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.58,TE,,0.00,0,0,16.53,0.00,0.00,0.00,0.00,0.00,20.48,391.00,612.00,14
23232,1,2023,IND,14,Alec Pierce,WR,OFF,17,17,0.00,0.00,0.00,0,0,0,0.00,0.00,0,0.00,0.00,0.00,0.20,1.20,0,0.00,0.00,70.20,39.80,586.20,14.6,2.80,0.00,0.10,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,75.34,WR,,0.00,1,0,95.24,0.00,0.00,0.00,0.00,0.00,115.24,199.00,211.00,14
23305,1,2023,IND,20,Nick Cross,S,DEF,17,0,0.00,0.00,0.00,0,0,0,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23.70,11.80,1.10,0.20,1.40,0.40,1.70,0.50,0.20,0.00,0.30,0.10,0.00,0.00,0.00,0.00,0.00,0.00,36.94,DB,,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,14
23439,1,2023,IND,57,JoJo Domann,LB,DEF,7,0,0.00,0.00,0.00,0,0,0,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.70,1.80,0.30,0.40,2.80,0.80,0.10,0.10,0.00,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.48,LB,,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,14
23490,1,2023,IND,80,Jelani Woods,TE,OFF,17,17,0.00,0.00,0.00,0,0,0,0.00,0.00,0,0.00,0.00,0.00,0.02,0.10,0,0.00,0.00,39.90,27.60,345.00,12.3,2.60,0.00,0.10,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,49.91,TE,,0.00,1,0,63.71,0.00,0.00,0.00,0.00,0.00,77.61,267.00,299.00,14
23603,1,2023,IND,93,Eric Johnson II,DT,DEF,17,0,0.00,0.00,0.00,0,0,0,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.10,5.00,1.50,0.60,4.20,1.30,0.30,0.20,0.10,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.52,DL,,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,14
23608,1,2023,IND,85,Drew Ogletree,TE,OFF,17,17,0.00,0.00,0.00,0,0,0,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,10.40,5.90,53.30,8.8,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.73,TE,,0.00,0,0,10.68,0.00,0.00,0.00,0.00,0.00,13.63,974.00,991.00,14
